city,elevation_m
Kabupaten Aceh Selatan,760.76
Kabupaten Aceh Tenggara,732.04
Kabupaten Aceh Timur,520.01
Kabupaten Aceh Tengah,64.01
Kabupaten Aceh Barat,725.62
Kabupaten Aceh Besar,1477.92
Kabupaten Pidie,315.9
Kabupaten Aceh Utara,302.33
Kabupaten Simeulue,283.12
Kabupaten Aceh Singkil,398.05
Kabupaten Bireuen,74.68
Kabupaten Aceh Barat Daya,205.49
Kabupaten Gayo Lues,1332.96
Kabupaten Aceh Jaya,252.61
Kabupaten Nagan Raya,1067.9
Kabupaten Aceh Tamiang,1000.89
Kabupaten Bener Meriah,878.11
Kabupaten Pidie Jaya,187.05
Kota Banda Aceh,338.68
Kota Sabang,380.67
Kota Lhokseumawe,439.13
Kota Langsa,532.79
Kota Subulussalam,94.98
Kabupaten Tapanuli Tengah,1284.7
Kabupaten Tapanuli Utara,14.09
Kabupaten Tapanuli Selatan,1449.76
Kabupaten Nias,1177.18
Kabupaten Langkat,812.86
Kabupaten Karo,1198.62
Kabupaten Deli Serdang,1219.98
Kabupaten Simalungun,1492.23
Kabupaten Asahan,1385.82
Kabupaten Labuhanbatu,334.46
Kabupaten Dairi,103.14
Kabupaten Toba,451.6
Kabupaten Mandailing Natal,1034.69
Kabupaten Nias Selatan,659.09
Kabupaten Pakpak Bharat,571.24
Kabupaten Humbang Hasundutan,1169.56
Kabupaten Samosir,939.47
Kabupaten Serdang Bedagai,797.21
Kabupaten Batu Bara,967.22
Kabupaten Padang Lawas Utara,1470.51
Kabupaten Padang Lawas,640.22
Kabupaten Labuhanbatu Selatan,1184.68
Kabupaten Labuhanbatu Utara,1486.72
Kabupaten Nias Utara,952.88
Kabupaten Nias Barat,1317.53
Kota Medan,1101.72
Kota Pematangsiantar,197.2
Kota Sibolga,970.59
Kota Tanjungbalai,595.48
Kota Binjai,1070.02
Kota Tebing Tinggi,452.06
Kota Padangsidimpuan,1222.88
Kota Gunungsitoli,406.15
Kabupaten Pesisir Selatan,448.77
Kabupaten Solok,736.53
Kabupaten Sijunjung,771.58
Kabupaten Tanah Datar,53.21
Kabupaten Padang Pariaman,835.17
Kabupaten Agam,705.77
Kabupaten Lima Puluh Kota,1096.85
Kabupaten Pasaman,1089.8
Kabupaten Kepulauan Mentawai,929.53
Kabupaten Dharmasraya,683.1
Kabupaten Solok Selatan,1049.07
Kabupaten Pasaman Barat,646.67
Kota Padang,519.82
Kota Solok,42.01
Kota Sawahlunto,1373.18
Kota Padang Panjang,1120.14
Kota Bukittinggi,1348.58
Kota Payakumbuh,293.07
Kota Pariaman,806.67
Kabupaten Kampar,920.91
