city,flood_prone_score
Kabupaten Aceh Selatan,18.45
Kabupaten Aceh Tenggara,8.21
Kabupaten Aceh Timur,2.26
Kabupaten Aceh Tengah,14.41
Kabupaten Aceh Barat,12.34
Kabupaten Aceh Besar,2.08
Kabupaten Pidie,11.65
Kabupaten Aceh Utara,15.22
Kabupaten Simeulue,9.22
Kabupaten Aceh Singkil,9.65
Kabupaten Bireuen,1.45
Kabupaten Aceh Barat Daya,12.04
Kabupaten Gayo Lues,17.26
Kabupaten Aceh Jaya,16.24
Kabupaten Nagan Raya,10.57
Kabupaten Aceh Tamiang,19.22
Kabupaten Bener Meriah,4.08
Kabupaten Pidie Jaya,14.52
Kota Banda Aceh,5.15
Kota Sabang,16.12
Kota Lhokseumawe,4.12
Kota Langsa,3.67
Kota Subulussalam,2.58
Kabupaten Tapanuli Tengah,5.95
Kabupaten Tapanuli Utara,3.0
Kabupaten Tapanuli Selatan,13.0
Kabupaten Nias,15.69
Kabupaten Langkat,11.56
Kabupaten Karo,6.92
Kabupaten Deli Serdang,19.22
Kabupaten Simalungun,11.27
Kabupaten Asahan,10.55
Kabupaten Labuhanbatu,7.56
Kabupaten Dairi,12.74
Kabupaten Toba,19.91
Kabupaten Mandailing Natal,17.32
Kabupaten Nias Selatan,14.83
Kabupaten Pakpak Bharat,2.73
Kabupaten Humbang Hasundutan,12.83
Kabupaten Samosir,1.71
Kabupaten Serdang Bedagai,14.54
Kabupaten Batu Bara,5.06
Kabupaten Padang Lawas Utara,16.46
Kabupaten Padang Lawas,14.71
Kabupaten Labuhanbatu Selatan,12.26
Kabupaten Labuhanbatu Utara,19.87
Kabupaten Nias Utara,19.67
Kabupaten Nias Barat,15.15
Kota Medan,10.99
Kota Pematangsiantar,6.87
Kota Sibolga,16.91
Kota Tanjungbalai,11.75
Kota Binjai,10.18
Kota Tebing Tinggi,8.18
Kota Padangsidimpuan,13.33
Kota Gunungsitoli,18.87
Kabupaten Pesisir Selatan,2.25
Kabupaten Solok,18.72
Kabupaten Sijunjung,4.09
Kabupaten Tanah Datar,3.09
Kabupaten Padang Pariaman,18.58
Kabupaten Agam,3.53
Kabupaten Lima Puluh Kota,5.09
Kabupaten Pasaman,14.42
