city,province,lat,lng,month,season,rainfall_1h,rainfall_3h,rainfall_24h,humidity,temperature,wind_speed,elevation_m,distance_to_river_km,soil_type,soil_type_encoded,flood_prone_score,risk_level
Kota Banda Aceh,Aceh,5.54167,95.33333,12,rainy,0.0,0.0,0.0,67.33333333333333,28.775,15.5875,338.68,14.158902074435252,alluvial,0,5.15,siaga
Kota Sabang,Aceh,5.88969,95.31644,12,rainy,0.02,0.06,0.2,65.875,29.75,24.579166666666666,380.67,7.485834002564129,sandy,4,16.12,awas
Kota Lhokseumawe,Aceh,5.1801,97.1507,8,dry,0.1,0.3,1.0,84.33333333333333,27.654166666666665,5.929166666666667,439.13,13.175377829114089,clay,1,4.12,aman
Kota Medan,Sumatera Utara,3.58333,98.66667,1,rainy,0.07,0.21,0.7000000000000001,88.45833333333333,26.600000000000005,4.779166666666667,1101.72,0.5718964606699516,peat,3,10.99,waspada
Kota Sibolga,Sumatera Utara,1.74016,98.78117,2,rainy,0.02,0.06,0.2,82.875,26.870833333333337,3.6125,970.59,6.782791303336942,sandy,4,16.91,awas
Kota Binjai,Sumatera Utara,3.6001,98.4854,1,rainy,0.01,0.03,0.1,87.75,26.416666666666668,5.258333333333334,1070.02,12.291553669028833,alluvial,0,10.18,waspada
Kota Padang,Sumatera Barat,-0.94924,100.35427,11,rainy,0.26,0.78,2.6,81.66666666666667,27.116666666666664,3.8125,519.82,0.9323396754569111,sandy,4,11.3,waspada
Kota Bukittinggi,Sumatera Barat,-0.30907,100.37055,5,dry,0.16,0.48,1.6,88.375,21.879166666666677,5.654166666666666,1348.58,10.929385865305978,sandy,4,15.58,awas
Kota Payakumbuh,Sumatera Barat,-0.2159,100.6334,10,rainy,0.13,0.39,1.3,89.79166666666667,23.745833333333334,2.270833333333333,293.07,8.531597424891197,sandy,4,8.43,siaga
Kota Pariaman,Sumatera Barat,-0.61898,100.11997,12,rainy,1.29,3.87,12.9,87.79166666666667,26.175,4.216666666666667,806.67,4.806032958321077,alluvial,0,11.08,waspada
Kota Pekanbaru,Riau,0.51667,101.44167,2,rainy,0.06,0.18,0.6000000000000001,86.66666666666667,27.29583333333333,4.895833333333333,33.28,10.798291290280474,alluvial,0,18.48,awas
Kota Dumai,Riau,1.66711,101.44316,1,rainy,0.2299999999999999,0.69,2.3,88.83333333333333,27.3125,4.541666666666667,1046.64,11.017056569833388,loam,2,1.88,aman
Kota Palembang,Sumatera Selatan,-2.91673,104.7458,7,dry,0.96,2.88,9.6,93.04166666666669,26.09583333333333,4.0875,1158.67,1.7707435992914131,clay,1,11.51,waspada
Kota Metro,Lampung,-5.11306,105.30667,5,dry,0.78,2.34,7.8,92.375,25.933333333333334,3.9791666666666665,867.75,4.139984791941196,peat,3,16.7,awas
Kota Batam,Kepulauan Riau,1.14937,104.02491,5,dry,0.04,0.12,0.4,80.41666666666667,28.67083333333333,7.7625,23.65,14.622694833542672,clay,1,8.34,siaga
Kota Bogor,Jawa Barat,-6.59444,106.78917,1,rainy,0.0,0.0,0.0,79.875,26.67083333333333,3.8083333333333336,400.26,1.7829112997703982,clay,1,9.36,siaga
Kota Sukabumi,Jawa Barat,-6.91806,106.92667,8,dry,0.48,1.44,4.8,86.66666666666667,23.191666666666663,3.6583333333333337,1290.2,4.1327212145268,peat,3,14.25,waspada
Kota Bandung,Jawa Barat,-6.92222,107.60694,9,transition,0.1,0.3,1.0,82.375,23.774999999999995,3.9,487.64,6.087725457942966,peat,3,17.6,awas
Kota Cirebon,Jawa Barat,-6.7063,108.557,12,rainy,0.1399999999999999,0.42,1.4,73.875,29.016666666666666,3.391666666666667,1218.64,15.064770472195043,alluvial,0,2.47,aman
Kota Bekasi,Jawa Barat,-6.2349,106.9896,12,rainy,0.23,0.6900000000000001,2.3000000000000003,78.875,28.166666666666668,4.0875,352.16,19.79871393420877,clay,1,8.23,siaga
