city,province,lat,lng
Kabupaten Aceh Selatan,Aceh,,
Kabupaten Aceh Tenggara,Aceh,,
Kabupaten Aceh Timur,Aceh,,
Kabupaten Aceh Tengah,Aceh,,
Kabupaten Aceh Barat,Aceh,,
Kabupaten Aceh Besar,Aceh,,
Kabupaten Pidie,Aceh,,
Kabupaten Aceh Utara,Aceh,,
Kabupaten Simeulue,Aceh,,
Kabupaten Aceh Singkil,Aceh,,
Kabupaten Bireuen,Aceh,,
Kabupaten Aceh Barat Daya,Aceh,,
Kabupaten Gayo Lues,Aceh,,
Kabupaten Aceh Jaya,Aceh,,
Kabupaten Nagan Raya,Aceh,,
Kabupaten Aceh Tamiang,Aceh,,
Kabupaten Bener Meriah,Aceh,,
Kabupaten Pidie Jaya,Aceh,,
Kota Banda Aceh,Aceh,5.54167,95.33333
Kota Sabang,Aceh,5.88969,95.31644
Kota Lhokseumawe,Aceh,5.1801,97.1507
Kota Langsa,Aceh,,
Kota Subulussalam,Aceh,,
Kabupaten Tapanuli Tengah,Sumatera Utara,,
Kabupaten Tapanuli Utara,Sumatera Utara,,
Kabupaten Tapanuli Selatan,Sumatera Utara,,
Kabupaten Nias,Sumatera Utara,,
Kabupaten Langkat,Sumatera Utara,,
Kabupaten Karo,Sumatera Utara,,
Kabupaten Deli Serdang,Sumatera Utara,,
Kabupaten Simalungun,Sumatera Utara,,
Kabupaten Asahan,Sumatera Utara,,
Kabupaten Labuhanbatu,Sumatera Utara,,
Kabupaten Dairi,Sumatera Utara,,
Kabupaten Toba,Sumatera Utara,,
Kabupaten Mandailing Natal,Sumatera Utara,,
Kabupaten Nias Selatan,Sumatera Utara,,
Kabupaten Pakpak Bharat,Sumatera Utara,,
Kabupaten Humbang Hasundutan,Sumatera Utara,,
Kabupaten Samosir,Sumatera Utara,,
Kabupaten Serdang Bedagai,Sumatera Utara,,
Kabupaten Batu Bara,Sumatera Utara,,
Kabupaten Padang Lawas Utara,Sumatera Utara,,
Kabupaten Padang Lawas,Sumatera Utara,,
Kabupaten Labuhanbatu Selatan,Sumatera Utara,,
Kabupaten Labuhanbatu Utara,Sumatera Utara,,
Kabupaten Nias Utara,Sumatera Utara,,
Kabupaten Nias Barat,Sumatera Utara,,
Kota Medan,Sumatera Utara,3.58333,98.66667
Kota Pematangsiantar,Sumatera Utara,,
Kota Sibolga,Sumatera Utara,1.74016,98.78117
Kota Tanjungbalai,Sumatera Utara,,
Kota Binjai,Sumatera Utara,3.6001,98.4854
Kota Tebing Tinggi,Sumatera Utara,,
Kota Padangsidimpuan,Sumatera Utara,,
Kota Gunungsitoli,Sumatera Utara,,
Kabupaten Pesisir Selatan,Sumatera Barat,,
Kabupaten Solok,Sumatera Barat,,
Kabupaten Sijunjung,Sumatera Barat,,
Kabupaten Tanah Datar,Sumatera Barat,,
Kabupaten Padang Pariaman,Sumatera Barat,,
Kabupaten Agam,Sumatera Barat,,
Kabupaten Lima Puluh Kota,Sumatera Barat,,
Kabupaten Pasaman,Sumatera Barat,,
Kabupaten Kepulauan Mentawai,Sumatera Barat,,
Kabupaten Dharmasraya,Sumatera Barat,,
Kabupaten Solok Selatan,Sumatera Barat,,
Kabupaten Pasaman Barat,Sumatera Barat,,
Kota Padang,Sumatera Barat,-0.94924,100.35427
Kota Solok,Sumatera Barat,,
Kota Sawahlunto,Sumatera Barat,,
Kota Padang Panjang,Sumatera Barat,,
Kota Bukittinggi,Sumatera Barat,-0.30907,100.37055
Kota Payakumbuh,Sumatera Barat,-0.2159,100.6334
Kota Pariaman,Sumatera Barat,-0.61898,100.11997
Kabupaten Kampar,Riau,,
Kabupaten Indragiri Hulu,Riau,,
Kabupaten Bengkalis,Riau,,
Kabupaten Indragiri Hilir,Riau,,
Kabupaten Pelalawan,Riau,,
Kabupaten Rokan Hulu,Riau,,
Kabupaten Rokan Hilir,Riau,,
Kabupaten Siak,Riau,,
Kabupaten Kuantan Singingi,Riau,,
Kabupaten Kepulauan Meranti,Riau,,
Kota Pekanbaru,Riau,0.51667,101.44167
Kota Dumai,Riau,1.66711,101.44316
Kabupaten Kerinci,Jambi,,
Kabupaten Merangin,Jambi,,
Kabupaten Sarolangun,Jambi,,
Kabupaten Batanghari,Jambi,,
Kabupaten Muaro Jambi,Jambi,,
Kabupaten Tanjung Jabung Barat,Jambi,,
Kabupaten Tanjung Jabung Timur,Jambi,,
Kabupaten Bungo,Jambi,,
Kabupaten Tebo,Jambi,,
Kota Jambi,Jambi,,
Kota Sungai Penuh,Jambi,,
Kabupaten Ogan Komering Ulu,Sumatera Selatan,,
Kabupaten Ogan Komering Ilir,Sumatera Selatan,,
Kabupaten Muara Enim,Sumatera Selatan,,
Kabupaten Lahat,Sumatera Selatan,,
Kabupaten Musi Rawas,Sumatera Selatan,,
Kabupaten Musi Banyuasin,Sumatera Selatan,,
Kabupaten Banyuasin,Sumatera Selatan,,
Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,,
Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,,
Kabupaten Ogan Ilir,Sumatera Selatan,,
Kabupaten Empat Lawang,Sumatera Selatan,,
Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,,
Kabupaten Musi Rawas Utara,Sumatera Selatan,,
Kota Palembang,Sumatera Selatan,-2.91673,104.7458
Kota Pagar Alam,Sumatera Selatan,,
Kota Lubuk Linggau,Sumatera Selatan,,
Kota Prabumulih,Sumatera Selatan,,
Kabupaten Bengkulu Selatan,Bengkulu,,
Kabupaten Rejang Lebong,Bengkulu,,
Kabupaten Bengkulu Utara,Bengkulu,,
Kabupaten Kaur,Bengkulu,,
Kabupaten Seluma,Bengkulu,,
Kabupaten Mukomuko,Bengkulu,,
Kabupaten Lebong,Bengkulu,,
Kabupaten Kepahiang,Bengkulu,,
Kabupaten Bengkulu Tengah,Bengkulu,,
Kota Bengkulu,Bengkulu,,
Kabupaten Lampung Selatan,Lampung,,
Kabupaten Lampung Tengah,Lampung,,
Kabupaten Lampung Utara,Lampung,,
Kabupaten Lampung Barat,Lampung,,
Kabupaten Tulang Bawang,Lampung,,
Kabupaten Tanggamus,Lampung,,
Kabupaten Lampung Timur,Lampung,,
Kabupaten Way Kanan,Lampung,,
Kabupaten Pesawaran,Lampung,,
Kabupaten Pringsewu,Lampung,,
Kabupaten Mesuji,Lampung,,
Kabupaten Tulang Bawang Barat,Lampung,,
Kabupaten Pesisir Barat,Lampung,,
Kota Bandar Lampung,Lampung,,
Kota Metro,Lampung,-5.11306,105.30667
Kabupaten Bangka,Kepulauan Bangka Belitung,,
Kabupaten Belitung,Kepulauan Bangka Belitung,,
Kabupaten Bangka Selatan,Kepulauan Bangka Belitung,,
Kabupaten Bangka Tengah,Kepulauan Bangka Belitung,,
Kabupaten Bangka Barat,Kepulauan Bangka Belitung,,
Kabupaten Belitung Timur,Kepulauan Bangka Belitung,,
Kota Pangkal Pinang,Kepulauan Bangka Belitung,,
Kabupaten Bintan,Kepulauan Riau,,
Kabupaten Karimun,Kepulauan Riau,,
Kabupaten Natuna,Kepulauan Riau,,
Kabupaten Lingga,Kepulauan Riau,,
Kabupaten Kepulauan Anambas,Kepulauan Riau,,
Kota Batam,Kepulauan Riau,1.14937,104.02491
Kota Tanjung Pinang,Kepulauan Riau,,
Kabupaten Administrasi Kepulauan Seribu,DKI Jakarta,,
Kota Administrasi Jakarta Pusat,DKI Jakarta,,
Kota Administrasi Jakarta Utara ,DKI Jakarta,,
Kota Administrasi Jakarta Barat,DKI Jakarta,,
Kota Administrasi Jakarta Selatan,DKI Jakarta,,
Kota Administrasi Jakarta Timur,DKI Jakarta,,
Kabupaten Bogor,Jawa Barat,,
Kabupaten Sukabumi,Jawa Barat,,
Kabupaten Cianjur,Jawa Barat,,
Kabupaten Bandung,Jawa Barat,,
Kabupaten Garut,Jawa Barat,,
Kabupaten Tasikmalaya,Jawa Barat,,
Kabupaten Ciamis,Jawa Barat,,
Kabupaten Kuningan,Jawa Barat,,
Kabupaten Cirebon,Jawa Barat,,
Kabupaten Majalengka,Jawa Barat,,
Kabupaten Sumedang,Jawa Barat,,
Kabupaten Indramayu,Jawa Barat,,
Kabupaten Subang,Jawa Barat,,
Kabupaten Purwakarta,Jawa Barat,,
Kabupaten Karawang,Jawa Barat,,
Kabupaten Bekasi,Jawa Barat,,
Kabupaten Bandung Barat,Jawa Barat,,
Kabupaten Pangandaran,Jawa Barat,,
Kota Bogor,Jawa Barat,-6.59444,106.78917
Kota Sukabumi,Jawa Barat,-6.91806,106.92667
Kota Bandung,Jawa Barat,-6.92222,107.60694
Kota Cirebon,Jawa Barat,-6.7063,108.557
Kota Bekasi,Jawa Barat,-6.2349,106.9896
Kota Depok,Jawa Barat,-6.4,106.81861
Kota Cimahi,Jawa Barat,-6.87222,107.5425
Kota Tasikmalaya,Jawa Barat,-7.3274,108.2207
Kota Banjar,Jawa Barat,,
Kabupaten Cilacap,Jawa Tengah,,
Kabupaten Banyumas,Jawa Tengah,,
Kabupaten Purbalingga,Jawa Tengah,,
Kabupaten Banjarnegara,Jawa Tengah,,
Kabupaten Kebumen,Jawa Tengah,,
Kabupaten Purworejo,Jawa Tengah,,
Kabupaten Wonosobo,Jawa Tengah,,
Kabupaten Magelang,Jawa Tengah,,
Kabupaten Boyolali,Jawa Tengah,,
Kabupaten Klaten,Jawa Tengah,-7.70583,110.60639
Kabupaten Sukoharjo,Jawa Tengah,,
Kabupaten Wonogiri,Jawa Tengah,,
Kabupaten Karanganyar,Jawa Tengah,,
Kabupaten Sragen,Jawa Tengah,,
Kabupaten Grobogan,Jawa Tengah,,
Kabupaten Blora,Jawa Tengah,,
Kabupaten Rembang,Jawa Tengah,,
Kabupaten Pati,Jawa Tengah,,
Kabupaten Kudus,Jawa Tengah,,
Kabupaten Jepara,Jawa Tengah,,
Kabupaten Demak,Jawa Tengah,,
Kabupaten Semarang,Jawa Tengah,,
Kabupaten Temanggung,Jawa Tengah,,
Kabupaten Kendal,Jawa Tengah,,
Kabupaten Batang,Jawa Tengah,,
Kabupaten Pekalongan,Jawa Tengah,,
Kabupaten Pemalang,Jawa Tengah,,
Kabupaten Tegal,Jawa Tengah,,
Kabupaten Brebes,Jawa Tengah,,
Kota Magelang,Jawa Tengah,-7.47056,110.21778
Kota Surakarta,Jawa Tengah,-7.55611,110.83167
Kota Salatiga,Jawa Tengah,,
Kota Semarang,Jawa Tengah,-6.99306,110.42083
Kota Pekalongan,Jawa Tengah,-6.8886,109.6753
Kota Tegal,Jawa Tengah,-6.8694,109.1402
Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta,,
Kabupaten Bantul,Daerah Istimewa Yogyakarta,,
