city,soil_type,soil_type_encoded
Kabupaten Aceh Selatan,sandy,4
Kabupaten Aceh Tenggara,sandy,4
Kabupaten Aceh Timur,alluvial,0
Kabupaten Aceh Tengah,alluvial,0
Kabupaten Aceh Barat,sandy,4
Kabupaten Aceh Besar,loam,2
Kabupaten Pidie,loam,2
Kabupaten Aceh Utara,clay,1
Kabupaten Simeulue,sandy,4
Kabupaten Aceh Singkil,clay,1
Kabupaten Bireuen,peat,3
Kabupaten Aceh Barat Daya,loam,2
Kabupaten Gayo Lues,alluvial,0
Kabupaten Aceh Jaya,peat,3
Kabupaten Nagan Raya,sandy,4
Kabupaten Aceh Tamiang,clay,1
Kabupaten Bener Meriah,alluvial,0
Kabupaten Pidie Jaya,sandy,4
Kota Banda Aceh,alluvial,0
Kota Sabang,sandy,4
Kota Lhokseumawe,clay,1
Kota Langsa,loam,2
Kota Subulussalam,peat,3
Kabupaten Tapanuli Tengah,clay,1
Kabupaten Tapanuli Utara,peat,3
Kabupaten Tapanuli Selatan,sandy,4
Kabupaten Nias,peat,3
Kabupaten Langkat,clay,1
Kabupaten Karo,peat,3
Kabupaten Deli Serdang,alluvial,0
Kabupaten Simalungun,clay,1
Kabupaten Asahan,sandy,4
Kabupaten Labuhanbatu,alluvial,0
Kabupaten Dairi,loam,2
Kabupaten Toba,sandy,4
Kabupaten Mandailing Natal,alluvial,0
Kabupaten Nias Selatan,clay,1
Kabupaten Pakpak Bharat,loam,2
Kabupaten Humbang Hasundutan,alluvial,0
Kabupaten Samosir,loam,2
Kabupaten Serdang Bedagai,sandy,4
Kabupaten Batu Bara,clay,1
Kabupaten Padang Lawas Utara,peat,3
Kabupaten Padang Lawas,alluvial,0
Kabupaten Labuhanbatu Selatan,clay,1
Kabupaten Labuhanbatu Utara,peat,3
Kabupaten Nias Utara,alluvial,0
Kabupaten Nias Barat,sandy,4
Kota Medan,peat,3
Kota Pematangsiantar,alluvial,0
Kota Sibolga,sandy,4
Kota Tanjungbalai,clay,1
Kota Binjai,alluvial,0
Kota Tebing Tinggi,clay,1
Kota Padangsidimpuan,sandy,4
Kota Gunungsitoli,peat,3
Kabupaten Pesisir Selatan,clay,1
Kabupaten Solok,sandy,4
Kabupaten Sijunjung,peat,3
Kabupaten Tanah Datar,sandy,4
Kabupaten Padang Pariaman,clay,1
Kabupaten Agam,loam,2
Kabupaten Lima Puluh Kota,peat,3
Kabupaten Pasaman,alluvial,0
Kabupaten Kepulauan Mentawai,loam,2
Kabupaten Dharmasraya,clay,1
Kabupaten Solok Selatan,loam,2
Kabupaten Pasaman Barat,alluvial,0
Kota Padang,sandy,4
Kota Solok,peat,3
Kota Sawahlunto,alluvial,0
Kota Padang Panjang,clay,1
Kota Bukittinggi,sandy,4
Kota Payakumbuh,sandy,4
Kota Pariaman,alluvial,0
Kabupaten Kampar,sandy,4
Kabupaten Indragiri Hulu,loam,2
Kabupaten Bengkalis,peat,3
Kabupaten Indragiri Hilir,clay,1
Kabupaten Pelalawan,sandy,4
Kabupaten Rokan Hulu,clay,1
Kabupaten Rokan Hilir,clay,1
Kabupaten Siak,loam,2
Kabupaten Kuantan Singingi,sandy,4
Kabupaten Kepulauan Meranti,clay,1
Kota Pekanbaru,alluvial,0
Kota Dumai,loam,2
Kabupaten Kerinci,peat,3
Kabupaten Merangin,loam,2
Kabupaten Sarolangun,peat,3
Kabupaten Batanghari,sandy,4
Kabupaten Muaro Jambi,loam,2
Kabupaten Tanjung Jabung Barat,peat,3
Kabupaten Tanjung Jabung Timur,clay,1
Kabupaten Bungo,loam,2
Kabupaten Tebo,peat,3
Kota Jambi,alluvial,0
Kota Sungai Penuh,peat,3
Kabupaten Ogan Komering Ulu,loam,2
Kabupaten Ogan Komering Ilir,clay,1
Kabupaten Muara Enim,alluvial,0
Kabupaten Lahat,peat,3
Kabupaten Musi Rawas,loam,2
Kabupaten Musi Banyuasin,peat,3
Kabupaten Banyuasin,peat,3
Kabupaten Ogan Komering Ulu Timur,clay,1
Kabupaten Ogan Komering Ulu Selatan,clay,1
Kabupaten Ogan Ilir,loam,2
Kabupaten Empat Lawang,peat,3
Kabupaten Penukal Abab Lematang Ilir,alluvial,0
Kabupaten Musi Rawas Utara,sandy,4
Kota Palembang,clay,1
Kota Pagar Alam,alluvial,0
Kota Lubuk Linggau,alluvial,0
Kota Prabumulih,sandy,4
Kabupaten Bengkulu Selatan,loam,2
Kabupaten Rejang Lebong,alluvial,0
Kabupaten Bengkulu Utara,loam,2
Kabupaten Kaur,loam,2
Kabupaten Seluma,clay,1
Kabupaten Mukomuko,sandy,4
Kabupaten Lebong,sandy,4
Kabupaten Kepahiang,clay,1
Kabupaten Bengkulu Tengah,clay,1
Kota Bengkulu,clay,1
Kabupaten Lampung Selatan,loam,2
Kabupaten Lampung Tengah,clay,1
Kabupaten Lampung Utara,sandy,4
Kabupaten Lampung Barat,clay,1
Kabupaten Tulang Bawang,alluvial,0
Kabupaten Tanggamus,clay,1
Kabupaten Lampung Timur,alluvial,0
Kabupaten Way Kanan,alluvial,0
Kabupaten Pesawaran,sandy,4
Kabupaten Pringsewu,alluvial,0
Kabupaten Mesuji,sandy,4
Kabupaten Tulang Bawang Barat,sandy,4
Kabupaten Pesisir Barat,sandy,4
Kota Bandar Lampung,peat,3
Kota Metro,peat,3
Kabupaten Bangka,alluvial,0
Kabupaten Belitung,sandy,4
Kabupaten Bangka Selatan,loam,2
Kabupaten Bangka Tengah,sandy,4
Kabupaten Bangka Barat,alluvial,0
Kabupaten Belitung Timur,loam,2
Kota Pangkal Pinang,clay,1
Kabupaten Bintan,alluvial,0
Kabupaten Karimun,clay,1
Kabupaten Natuna,loam,2
Kabupaten Lingga,sandy,4
Kabupaten Kepulauan Anambas,alluvial,0
Kota Batam,clay,1
Kota Tanjung Pinang,peat,3
Kabupaten Administrasi Kepulauan Seribu,loam,2
Kota Administrasi Jakarta Pusat,sandy,4
Kota Administrasi Jakarta Utara ,peat,3
Kota Administrasi Jakarta Barat,alluvial,0
Kota Administrasi Jakarta Selatan,sandy,4
Kota Administrasi Jakarta Timur,loam,2
Kabupaten Bogor,loam,2
Kabupaten Sukabumi,sandy,4
Kabupaten Cianjur,alluvial,0
Kabupaten Bandung,alluvial,0
Kabupaten Garut,clay,1
Kabupaten Tasikmalaya,loam,2
Kabupaten Ciamis,loam,2
Kabupaten Kuningan,alluvial,0
Kabupaten Cirebon,alluvial,0
Kabupaten Majalengka,clay,1
Kabupaten Sumedang,alluvial,0
Kabupaten Indramayu,alluvial,0
Kabupaten Subang,clay,1
Kabupaten Purwakarta,peat,3
Kabupaten Karawang,sandy,4
Kabupaten Bekasi,sandy,4
Kabupaten Bandung Barat,peat,3
Kabupaten Pangandaran,clay,1
Kota Bogor,clay,1
Kota Sukabumi,peat,3
Kota Bandung,peat,3
Kota Cirebon,alluvial,0
Kota Bekasi,clay,1
Kota Depok,clay,1
Kota Cimahi,peat,3
