city,province,lat,lng,rainfall_1h,rainfall_3h,rainfall_24h,humidity,temperature,wind_speed
Kota Banda Aceh,Aceh,5.54167,95.33333,0.0,0.0,0.0,67.33333333333333,28.775000000000002,15.5875
Kota Sabang,Aceh,5.88969,95.31644,0.020000000000000004,0.06,0.2,65.875,29.75,24.579166666666666
Kota Lhokseumawe,Aceh,5.1801,97.1507,0.1,0.3,1.0,84.33333333333333,27.654166666666665,5.929166666666667
Kota Medan,Sumatera Utara,3.58333,98.66667,0.07,0.21000000000000002,0.7000000000000001,88.45833333333333,26.600000000000005,4.779166666666667
Kota Sibolga,Sumatera Utara,1.74016,98.78117,0.020000000000000004,0.06,0.2,82.875,26.870833333333337,3.6124999999999994
Kota Binjai,Sumatera Utara,3.6001,98.4854,0.010000000000000002,0.03,0.1,87.75,26.416666666666668,5.258333333333334
Kota Padang,Sumatera Barat,-0.94924,100.35427,0.26,0.78,2.6,81.66666666666667,27.116666666666664,3.8125
Kota Bukittinggi,Sumatera Barat,-0.30907,100.37055,0.16000000000000003,0.48,1.6,88.375,21.879166666666674,5.654166666666666
Kota Payakumbuh,Sumatera Barat,-0.2159,100.6334,0.13,0.39,1.3,89.79166666666667,23.745833333333334,2.2708333333333335
Kota Pariaman,Sumatera Barat,-0.61898,100.11997,1.29,3.87,12.9,87.79166666666667,26.175,4.216666666666667
Kota Pekanbaru,Riau,0.51667,101.44167,0.06000000000000001,0.18000000000000002,0.6000000000000001,86.66666666666667,27.295833333333334,4.895833333333333
Kota Dumai,Riau,1.66711,101.44316,0.22999999999999998,0.69,2.3,88.83333333333333,27.3125,4.541666666666667
Kota Palembang,Sumatera Selatan,-2.91673,104.7458,0.96,2.88,9.6,93.04166666666667,26.09583333333333,4.0874999999999995
Kota Metro,Lampung,-5.11306,105.30667,0.78,2.34,7.8,92.375,25.933333333333334,3.9791666666666665
Kota Batam,Kepulauan Riau,1.14937,104.02491,0.04000000000000001,0.12,0.4,80.41666666666667,28.67083333333333,7.7625
Kota Bogor,Jawa Barat,-6.59444,106.78917,0.0,0.0,0.0,79.875,26.670833333333334,3.8083333333333336
Kota Sukabumi,Jawa Barat,-6.91806,106.92667,0.48,1.44,4.8,86.66666666666667,23.191666666666663,3.6583333333333337
Kota Bandung,Jawa Barat,-6.92222,107.60694,0.1,0.3,1.0,82.375,23.774999999999995,3.9000000000000004
Kota Cirebon,Jawa Barat,-6.7063,108.557,0.13999999999999999,0.42,1.4,73.875,29.016666666666666,3.391666666666667
Kota Bekasi,Jawa Barat,-6.2349,106.9896,0.23000000000000004,0.6900000000000001,2.3000000000000003,78.875,28.166666666666668,4.0874999999999995
Kota Depok,Jawa Barat,-6.4,106.81861,0.1,0.3,1.0,81.70833333333333,27.045833333333334,4.104166666666667
Kota Cimahi,Jawa Barat,-6.87222,107.5425,0.36000000000000004,1.08,3.6,85.875,22.212499999999995,4.825
Kota Tasikmalaya,Jawa Barat,-7.3274,108.2207,1.1199999999999999,3.36,11.2,90.58333333333333,24.520833333333332,2.641666666666667
Kabupaten Klaten,Jawa Tengah,-7.70583,110.60639,0.81,2.4299999999999997,8.1,87.20833333333333,26.229166666666668,8.120833333333332
Kota Magelang,Jawa Tengah,-7.47056,110.21778,0.81,2.4299999999999997,8.1,84.08333333333333,24.95416666666667,2.5375
Kota Surakarta,Jawa Tengah,-7.55611,110.83167,0.9500000000000001,2.85,9.5,86.83333333333333,26.09583333333333,7.216666666666666
Kota Semarang,Jawa Tengah,-6.99306,110.42083,0.2,0.6,2.0,77.625,28.070833333333336,6.870833333333333
Kota Pekalongan,Jawa Tengah,-6.8886,109.6753,0.15000000000000002,0.44999999999999996,1.5,83.54166666666667,27.745833333333334,4.191666666666666
Kota Tegal,Jawa Tengah,-6.8694,109.1402,0.6000000000000001,1.7999999999999998,6.0,85.04166666666667,27.120833333333334,6.016666666666667
Kabupaten Malang,Jawa Timur,-7.9797,112.6304,0.6900000000000001,2.07,6.9,86.54166666666667,24.8875,3.8166666666666664
Kabupaten Lumajang,Jawa Timur,-8.1335,113.2248,1.1400000000000001,3.42,11.4,89.08333333333333,26.316666666666674,4.379166666666667
Kota Kediri,Jawa Timur,-7.81667,112.01667,0.5700000000000001,1.71,5.7,89.375,26.52916666666667,8.933333333333334
